Name,Status,Position,Nation,Age,Rating,Playstyle,Market Value,Window Signed,Loaned/Transferred From,Loan Length,Contracted Team,PositionOrder
Robin Roefs,Ajax,GK,Netherlands,22.0,71.0,Offensive Goalkeeper,10750000,Summer,,,Ajax,1.0
Senne Lammens,Ajax,GK,Belgium,23.0,73.0,Offensive Goalkeeper,16125000,Summer,,,Ajax,1.0
Mamadou Sarr,Ajax,CB,France,20.0,74.0,Build Up,22750000,Summer,,,Ajax,2.0
Jan Paul van Hecke,Ajax,CB,Netherlands,25.0,76.0,Build Up,25312500,Summer,,,Ajax,2.0
Riccardo Marchizza,Ajax,LB,Italy,27.0,70.0,Defensive Full-back,7400000,Summer,,,Ajax,2.1
Juan Miranda,Ajax,LB,Spain,25.0,75.0,Offensive Full-back,21500000,,,,Ajax,2.1
Malcom Bokele,Ajax,RB,Cameroon,25.0,68.0,Defensive Full-back,5000000,Summer,,,Ajax,2.2
Martim Fernandes,Ajax,RB,Portugal,19.0,73.0,Offensive Full-back,24000000,Summer,,,Ajax,2.2
Jeremie Frimpong,Ajax,RB,Netherlands,25.0,78.0,Full-back Finisher,30250000,Summer,,,Ajax,2.2
Ismaël Doukouré,Ajax,DMF,France,22.0,73.0,Anchor Man,17250000,Summer,,,Ajax,3.0
Leonel Picco,Ajax,DMF,Argentina,27.0,73.0,The Destroyer,16125000,Summer,,,Ajax,3.0
James Garner,Ajax,DMF,England,24.0,74.0,Anchor Man,19250000,Summer,,,Ajax,3.0
Kees Smit,Ajax,CMF,Netherlands,19.0,69.0,Orchestrator,9450000,Summer,,,Ajax,3.1
Lucas Bergvall,Ajax,CMF,Sweden,19.0,73.0,Orchestrator,24750000,Summer,,,Ajax,3.1
Adrián Bernabé,Ajax,CMF,Spain,24.0,75.0,Orchestrator,23000000,Summer,,,Ajax,3.1
Fred,Ajax,CMF,Brazil,32.0,76.0,Orchestrator,16875000,Summer,,,Ajax,3.1
Chemsdine Talbi,Ajax,AMF,Morocco,20.0,69.0,Hole Player,6450000,Summer,,,Ajax,3.4
Yáser Asprilla,Ajax,AMF,Colombia,22.0,72.0,Dummy Runner,14687500,Summer,,,Ajax,3.4
Arsen Zakharyan,Ajax,AMF,Russia,22.0,73.0,Hole Player,17625000,Summer,,,Ajax,3.4
